labels	text
Spam	"{FirstName} has a WIC appt with People's Health Center on {Month} {Day} {Time} AM. Please call {Phone} if you have any questions. Please bring your ID/WIC card, child's ID, proof of address and proof of income."
Spam	"{FirstName} has missed a WIC appt on  {Weekday}, {Month} {Day}. Please call us at {Phone} if you have any questions. "
Spam	"{FirstName} missed a WIC appt. Please call {Phone} to reschedule before the end of the current month."
Spam	" {FirstName} has missed a WIC appt on {Weekday}, {Month} {Day}. Please call us at  {Phone} if you have any questions."
Spam	"{FirstName} has a WIC appt with People's Health Center on {Month} {Day} {Time} PM. Please call {Phone} if you have any questions. Please bring your ID/WIC card, child's ID, proof of address and proof of income."
Spam	"DE'{FirstName} has a WIC appt with People's Health Center on {Month} {Day} {Time} PM. Please call {Phone} if you have any questions. Please bring your ID/WIC card, child's ID, proof of address and proof of income."
Spam	"Estaba programado para una cita {Weekday}, {Month} {Day}, {Time} PM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone}. Gracias por su paciencia."
Spam	"Estaba programado para una cita {Weekday}, {Month} {Day}, {Time} PM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone} Ext {Number}. Gracias por su paciencia."
Spam	"Estaba programado para una cita {Weekday}, {Month} {Day}, {Time} AM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone} Ext {Number}. Gracias por su paciencia."
Spam	"Estaba programado para una cita {Weekday}, {Month} {Day}, {Time} AM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone}. Gracias por su paciencia."
Spam	"Estaba programado para una cita {Weekday}, ago 29, {Time} PM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone} Ext {Number}. Gracias por su paciencia."
Spam	"Estaba programado para una cita {Weekday}, ago 29, {Time} PM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone}. Gracias por su paciencia."
Spam	"Estaba programado para una cita {Weekday}, ago 29, {Time} AM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone}. Gracias por su paciencia."
Spam	"Estaba programado para una cita {Weekday}, ago 29, {Time} AM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone} Ext {Number}. Gracias por su paciencia."
Spam	"Estaba programado para una cita mié, ago 31, {Time} PM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone}. Gracias por su paciencia."
Spam	"Estaba programado para una cita mié, ago 31, {Time} PM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone} Ext {Number}. Gracias por su paciencia."
Spam	"Estaba programado para una cita mié, ago 31, {Time} AM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone}. Gracias por su paciencia."
Spam	"Estaba programado para una cita mié, ago 31, {Time} AM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone} Ext {Number}. Gracias por su paciencia."
Spam	"Estaba programado para una cita {Weekday}, ago 27, {Time} PM en {Clinic} WIC o no tiene una certificación actual, no necesita venir a la oficina. Aún podemos brindarle beneficios. ¿Tiene alguna pregunta? llame a {Phone}. Gracias por su paciencia."
